Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2023-04-12,0.18,51,3.53,147,1.23,0.449,1
2023-04-13,0.00,162,0.02,441,0.01,0.4583,1
2023-04-14,0.20,77,2.54,272,0.72,0.6384,3
2023-04-15,0.01,68,0.14,248,0.04,0.5363,1
2023-04-16,0.00,17,0.06,70,0.01,0.5143,0
2023-04-17,0.00,34,0.10,97,0.04,0.4433,0
2023-04-18,0.08,41,2.06,150,0.56,0.5436,3
2023-04-19,0.01,137,0.06,445,0.02,0.5023,0
2023-04-20,0.01,34,0.26,129,0.07,0.6589,0
2023-04-21,0.01,109,0.09,326,0.03,0.4814,0
2023-04-22,0.01,57,0.16,178,0.05,0.407,0
2023-04-23,0.00,30,0.11,94,0.03,0.5484,0
2023-04-24,0.00,42,0.04,129,0.01,0.4496,1
2023-04-25,0.00,33,0.04,103,0.01,0.5686,0
2023-04-26,0.01,109,0.06,293,0.02,0.5576,0
2023-04-27,0.00,76,0.06,192,0.02,0.4345,0
2023-04-28,0.02,66,0.32,212,0.10,0.4615,0
2023-04-29,0.02,126,0.14,421,0.04,0.4936,0
2023-04-30,0.28,39,7.13,150,1.85,0.4865,2
2023-05-01,0.01,29,0.22,108,0.06,0.5943,0
2023-05-02,0.00,22,0.08,61,0.03,0.4068,0
2023-05-03,0.04,17,2.07,57,0.62,0.3158,0
2023-05-04,0.01,93,0.06,338,0.02,0.5714,0
2023-05-05,0.05,37,1.31,106,0.46,0.451,1
2023-05-06,0.01,25,0.23,84,0.07,0.4643,1
2023-05-07,0.05,67,0.68,227,0.20,0.5867,1
2023-05-08,0.01,36,0.38,104,0.13,0.3922,0
2023-05-09,0.01,20,0.52,76,0.14,0.5139,0
2023-05-10,0.00,58,0.05,123,0.02,0.6475,0
2023-05-11,0.47,94,5.02,359,1.31,0.6278,13
2023-05-12,1.11,247,4.48,798,1.39,0.5225,28
2023-05-13,1.50,154,9.77,547,2.75,0.5597,37
2023-05-14,0.63,40,15.84,155,4.09,0.5909,9
2023-05-15,0.70,60,11.71,249,2.82,0.5466,17
2023-05-16,0.12,27,4.39,99,1.20,0.5979,7
2023-05-17,0.06,33,1.71,132,0.43,0.6439,3
2023-05-18,0.61,32,19.03,145,4.20,0.5931,15
2023-05-19,0.99,91,10.91,380,2.61,0.6675,54
2023-05-20,0.62,81,7.64,425,1.46,0.6094,35
2023-05-21,1.22,81,15.01,350,3.47,0.6905,25
2023-05-22,0.20,29,6.88,91,2.19,0.5495,1
2023-05-23,0.00,29,0.11,92,0.04,0.5393,0
2023-05-24,1.93,112,17.20,487,3.95,0.6597,65
2023-05-25,7.39,156,47.39,671,11.02,0.6707,124
2023-05-26,3.92,71,55.23,181,21.66,0.4389,34
2023-05-27,0.00,34,0.03,125,0.01,0.5,0
2023-05-28,0.01,257,0.03,217,0.03,0.4789,2
2023-05-29,0.00,253,0.00,6,0.03,0.8333,0
2023-05-30,0.00,66,0.00,2,0.00,0.5,0
2023-05-31,0.00,88,0.00,2,0.01,0.5,0
2023-06-01,0.00,129,0.00,7,0.02,0.2857,0
2023-06-02,0.00,95,0.00,3,0.01,0.3333,0
2023-06-03,0.00,74,0.00,3,0.00,0.3333,0
2023-06-04,0.00,56,0.00,3,0.00,0.6667,0
2023-06-05,0.00,85,0.00,13,0.00,0.6923,0
2023-06-06,0.00,32,0.02,67,0.01,0.4328,1
2023-06-07,0.01,52,0.13,200,0.03,0.56,0
2023-06-08,0.00,31,0.03,114,0.01,0.5088,1
2023-06-09,0.06,27,2.09,117,0.48,0.5812,1
2023-06-10,0.00,20,0.00,8,0.00,0.625,0
2023-06-11,0.00,17,0.00,1,0.00,0,0
2023-06-12,0.00,24,0.00,1,0.00,0,0
2023-06-13,0.00,12,0.00,0,,,0
2023-06-14,0.00,21,0.00,1,0.01,0,0
2023-06-15,0.00,35,0.02,10,0.07,0.8,0
2023-06-16,0.00,21,0.00,0,,,0
2023-06-17,0.00,15,0.00,1,0.00,0,0
2023-06-18,0.00,10,0.00,3,0.00,1,0
2023-06-19,0.00,22,0.00,0,,,0
2023-06-20,0.00,13,0.00,1,0.00,0,0
2023-06-21,0.00,23,0.00,0,,,0
2023-06-22,0.00,22,0.00,0,,,0
2023-06-23,0.00,57,0.00,2,0.00,0.5,0
2023-06-24,0.00,42,0.00,1,0.00,1,0
2023-06-25,0.00,50,0.00,1,0.06,0,0
2023-06-26,0.00,79,0.00,3,0.09,0.6667,0
2023-06-27,0.00,27,0.00,1,0.00,1,0
2023-06-28,0.00,32,0.00,1,0.01,1,0
2023-06-29,0.00,57,0.00,0,,,0
2023-06-30,0.00,6,0.00,1,0.00,1,0
2023-07-01,0.00,23,0.00,0,,,0
2023-07-02,0.00,16,0.00,1,0.01,0,0
2023-07-03,0.00,21,0.01,2,0.06,1,0
2023-07-04,0.00,29,0.00,1,0.00,0,0
2023-07-05,0.00,20,0.00,1,0.01,,0
2023-07-06,0.03,17,1.52,73,0.35,0.4795,1
2023-07-07,0.00,19,0.05,58,0.02,0.5172,0
2023-07-08,0.01,82,0.15,292,0.04,0.4965,0
2023-07-09,0.00,35,0.02,109,0.01,0.6239,0
2023-07-10,0.01,138,0.09,490,0.03,0.5249,1
2023-07-11,0.01,80,0.14,274,0.04,0.5112,2
2023-07-12,0.01,77,0.10,196,0.04,0.5132,0
2023-07-13,0.00,38,0.02,118,0.01,0.5085,0
2023-07-14,0.00,57,0.05,202,0.01,0.5404,0
2023-07-15,0.00,65,0.05,209,0.02,0.5337,0
2023-07-16,0.03,113,0.30,287,0.12,0.5643,4
2023-07-17,0.00,67,0.04,181,0.02,0.4358,0
2023-07-18,0.00,41,0.05,126,0.02,0.584,0
2023-07-19,0.00,16,0.04,39,0.02,0.6154,0
2023-07-20,0.01,44,0.12,187,0.03,0.6684,0
2023-07-21,0.02,173,0.12,448,0.05,0.5274,1
2023-07-22,0.00,77,0.01,193,0.01,0.5365,0
2023-07-23,0.12,365,0.33,1085,0.11,0.5274,7
2023-07-24,0.01,152,0.07,475,0.02,0.537,1
2023-07-25,0.01,114,0.09,465,0.02,0.5022,0
2023-07-26,0.01,50,0.13,169,0.04,0.3929,1
2023-07-27,0.00,27,0.09,77,0.03,0.3947,0
2023-07-28,0.00,28,0.01,44,0.00,0.381,0
2023-07-29,0.00,19,0.12,33,0.07,0.3636,0
2023-07-30,0.00,22,0.05,63,0.02,0.5079,0
2023-07-31,0.02,34,0.47,125,0.13,0.561,1
2023-08-01,0.00,21,0.05,65,0.02,0.4769,0
2023-08-02,0.00,14,0.02,42,0.01,0.5,0
2023-08-03,0.01,30,0.30,92,0.10,0.5714,0
2023-08-04,0.01,97,0.08,315,0.02,0.5788,1
2023-08-05,0.02,24,0.77,63,0.29,0.4444,1
2023-08-06,0.00,11,0.00,32,0.00,0.5312,0
2023-08-07,0.01,19,0.40,64,0.12,0.4844,0
2023-08-08,0.01,122,0.11,384,0.03,0.5342,0
2023-08-09,0.00,34,0.12,112,0.04,0.5741,0
2023-08-10,0.01,14,0.47,37,0.18,0.5405,0
2023-08-11,0.00,18,0.06,33,0.03,0.5938,0
2023-08-12,0.00,15,0.02,29,0.01,0.2759,0
2023-08-13,0.00,13,0.02,25,0.01,0.44,0
2023-08-14,0.00,20,0.00,38,0.00,0.2895,0
2023-08-15,0.00,16,0.04,55,0.01,0.5091,0
2023-08-16,0.00,13,0.11,34,0.04,0.4706,0
2023-08-17,0.00,14,0.06,50,0.02,0.6,0
2023-08-18,0.00,10,0.02,31,0.01,0.5161,0
2023-08-19,0.00,14,0.03,44,0.01,0.3864,0
2023-08-20,0.00,14,0.03,27,0.02,0.4074,0
2023-08-21,0.00,12,0.03,27,0.01,0.5926,0
2023-08-22,0.00,10,0.00,16,0.00,0.4375,0
2023-08-23,0.00,17,0.03,43,0.01,0.4884,0
2023-08-24,0.00,14,0.28,29,0.13,0.4483,0
2023-08-25,0.00,3,0.01,11,0.00,0.5455,0
2023-08-26,0.00,20,0.02,40,0.01,0.6,0
2023-08-27,0.02,21,0.76,76,0.21,0.5132,2
2023-08-28,0.00,21,0.03,58,0.01,0.5862,0
2023-08-29,0.00,4,0.02,9,0.01,0.5556,0
2023-08-30,0.00,12,0.02,26,0.01,0.3846,0
2023-08-31,0.00,14,0.06,34,0.02,0.697,0
2023-09-01,0.00,22,0.01,48,0.01,0.5,0
2023-09-02,0.00,21,0.02,67,0.01,0.6269,0
2023-09-03,0.00,14,0.03,21,0.02,0.5789,0
2023-09-04,0.07,163,0.45,452,0.16,0.4395,2
2023-09-05,0.00,58,0.02,118,0.01,0.5214,0
2023-09-06,0.00,16,0.04,22,0.03,0.3333,0
2023-09-07,0.00,32,0.15,56,0.09,0.5,0
2023-09-08,0.00,13,0.00,14,0.00,0.4286,0
2023-09-09,0.00,24,0.05,46,0.03,0.5455,0
2023-09-10,0.00,23,0.08,33,0.06,0.697,0
2023-09-11,0.25,45,5.55,83,3.01,0.494,14
2023-09-12,0.01,53,0.10,116,0.05,0.5478,0
2023-09-13,0.01,79,0.11,202,0.04,0.5779,0
2023-09-14,0.02,235,0.09,461,0.04,0.481,1
2023-09-15,0.70,70,10.02,130,5.40,0.5079,21
2023-09-16,0.00,22,0.02,63,0.01,0.3103,0
2023-09-17,0.00,20,0.08,67,0.02,0.5758,0
2023-09-18,0.00,31,0.11,101,0.03,0.4554,0
2023-09-19,0.02,45,0.38,157,0.11,0.6474,1
2023-09-20,0.01,19,0.29,69,0.08,0.3676,0
2023-09-21,0.04,177,0.21,543,0.07,0.546,3
2023-09-22,0.04,48,0.86,157,0.26,0.4841,1
2023-09-23,0.00,30,0.05,94,0.01,0.587,0
2023-09-24,0.00,16,0.24,45,0.08,0.3023,0
2023-09-25,0.13,25,5.29,84,1.58,0.5238,1
2023-09-26,0.02,75,0.27,278,0.07,0.5458,1
2023-09-27,0.02,46,0.41,145,0.13,0.4255,0
2023-09-28,0.00,29,0.14,87,0.05,0.4023,0
2023-09-29,0.00,14,0.04,36,0.02,0.2778,0
