Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2021-03-23,0.10,168,0.59,425,0.23,0.4366,2
2021-03-24,0.00,112,0.03,204,0.02,0.3942,0
2021-03-25,0.11,168,0.68,334,0.34,0.429,1
2021-03-26,0.02,115,0.13,260,0.06,0.4346,0
2021-03-27,0.05,101,0.53,270,0.20,0.4191,1
2021-03-28,0.06,140,0.41,288,0.20,0.4386,1
2021-03-29,0.01,134,0.06,316,0.02,0.3766,0
2021-03-30,0.10,171,0.60,388,0.27,0.4462,1
2021-03-31,0.11,210,0.51,492,0.22,0.3846,2
2021-04-01,0.02,233,0.07,640,0.03,0.4266,0
2021-04-02,0.05,178,0.28,469,0.11,0.4029,1
2021-04-03,0.03,222,0.15,634,0.05,0.4155,1
2021-04-04,0.19,188,1.02,447,0.43,0.4018,1
2021-04-05,0.01,140,0.09,407,0.03,0.3972,0
2021-04-06,0.20,180,1.13,359,0.57,0.4192,3
2021-04-07,0.06,173,0.32,463,0.12,0.4128,3
2021-04-08,0.20,186,1.06,520,0.38,0.4383,3
2021-04-09,0.33,139,2.35,359,0.91,0.368,3
2021-04-10,0.06,215,0.28,556,0.11,0.4365,1
2021-04-11,0.01,174,0.07,378,0.03,0.4497,1
2021-04-12,0.06,233,0.25,644,0.09,0.438,1
2021-04-13,0.00,97,0.02,214,0.01,0.4404,0
2021-04-14,0.67,351,1.91,799,0.84,0.5094,4
2021-04-15,0.02,197,0.12,429,0.06,0.4805,0
2021-04-16,0.12,152,0.78,359,0.33,0.4033,2
2021-04-17,0.01,124,0.05,267,0.02,0.4566,0
2021-04-18,0.02,290,0.07,801,0.03,0.3768,1
2021-04-19,0.04,403,0.10,1037,0.04,0.4757,1
2021-04-20,0.02,194,0.10,423,0.05,0.4812,0
2021-04-21,0.21,181,1.18,431,0.50,0.5228,2
2021-04-22,0.01,82,0.10,183,0.04,0.4225,0
2021-04-23,0.03,117,0.22,241,0.11,0.4421,0
2021-04-24,0.02,326,0.06,516,0.04,0.3555,0
2021-04-25,0.01,86,0.06,184,0.03,0.3791,0
2021-04-26,0.01,120,0.11,282,0.05,0.4064,1
2021-04-27,0.05,405,0.12,927,0.05,0.3658,1
2021-04-28,0.03,130,0.24,280,0.11,0.3915,0
2021-04-29,0.05,237,0.20,508,0.09,0.4016,2
2021-04-30,0.15,203,0.72,463,0.31,0.3983,3
2021-05-01,0.03,168,0.15,400,0.06,0.4154,1
2021-05-02,0.04,176,0.22,360,0.11,0.4763,1
2021-05-03,0.02,104,0.18,178,0.10,0.4514,1
2021-05-04,0.05,312,0.17,636,0.08,0.459,3
2021-05-05,0.27,246,1.08,541,0.49,0.4768,4
2021-05-06,0.29,245,1.20,600,0.49,0.4745,5
2021-05-07,0.58,467,1.25,1307,0.45,0.4833,9
2021-05-08,0.18,315,0.56,623,0.28,0.4144,2
2021-05-09,0.31,444,0.70,1006,0.31,0.5098,5
2021-05-10,0.43,376,1.15,856,0.50,0.4236,6
2021-05-11,0.32,385,0.83,899,0.35,0.4821,5
2021-05-12,1.09,841,1.30,2473,0.44,0.5148,18
2021-05-13,0.63,766,0.82,2445,0.26,0.4692,6
2021-05-14,0.64,517,1.23,1474,0.43,0.4688,7
2021-05-15,0.23,423,0.55,1131,0.20,0.4311,3
2021-05-16,0.89,642,1.39,1536,0.58,0.4754,12
2021-05-17,0.47,428,1.09,1096,0.43,0.4697,8
2021-05-18,0.03,246,0.13,531,0.06,0.3801,1
2021-05-19,0.29,296,0.99,627,0.47,0.3642,5
2021-05-20,0.69,437,1.58,927,0.74,0.4604,5
2021-05-21,0.36,428,0.85,1019,0.36,0.4575,8
2021-05-22,0.85,637,1.34,1496,0.57,0.455,11
2021-05-23,0.02,266,0.09,612,0.04,0.3804,0
2021-05-24,0.09,344,0.27,780,0.12,0.4698,2
2021-05-25,0.22,238,0.91,548,0.40,0.3952,3
2021-05-26,0.02,235,0.07,572,0.03,0.4497,0
2021-05-27,0.29,309,0.94,667,0.43,0.3916,4
2021-05-28,0.06,246,0.25,629,0.10,0.4233,1
2021-05-29,0.13,214,0.60,588,0.22,0.409,4
2021-05-30,0.54,310,1.73,659,0.81,0.4938,7
2021-05-31,0.36,516,0.71,1315,0.28,0.4049,5
2021-06-01,0.27,277,0.98,607,0.45,0.4217,9
2021-06-02,0.29,208,1.37,450,0.64,0.3798,5
2021-06-03,0.15,1213,0.12,3067,0.05,0.3893,3
2021-06-04,0.64,566,1.14,1524,0.42,0.5153,8
2021-06-05,0.70,281,2.48,780,0.89,0.44,10
